CVDs,RSP,NO2,SO2,O3
70.0,19.82,19.06,4.23,22.23
120.0,30.72,28.98,19.45,5.04
168.0,30.09,44.18,20.84,1.1
159.0,26.77,40.44,14.07,8.48
192.0,27.97,44.22,10.42,25.99
151.0,25.02,43.61,9.86,28.79
162.0,34.6,52.72,12.97,28.98
104.0,29.3,39.65,9.01,34.23
110.0,23.61,32.04,6.3,23.54
182.0,29.92,33.41,8.16,34.52
162.0,29.35,30.85,11.82,15.98
176.0,38.49,53.47,45.61,6.35
144.0,77.97,87.1,51.56,11.73
148.0,91.79,82.56,31.74,60.71
93.0,17.33,26.21,7.37,23.79
83.0,14.13,20.26,4.26,15.6
119.0,17.28,17.18,5.03,14.48
167.0,26.54,28.89,8.02,15.92
156.0,49.02,58.66,33.83,27.67
128.0,64.42,38.33,18.82,32.42
161.0,19.61,32.58,18.82,32.42
108.0,23.37,22.64,6.83,9.35
92.0,38.98,43.13,22.88,24.35
183.0,59.14,70.89,44.79,19.21
148.0,67.93,61.98,35.27,28.56
169.0,22.06,23.11,5.97,13.29
140.0,24.98,22.83,6.68,18.04
150.0,36.42,32.04,12.48,8.42
68.0,46.53,54.28,38.31,22.54
114.0,37.56,39.33,20.03,23.85
148.0,25.89,28.0,9.15,22.04
155.0,42.07,40.57,8.89,41.48
199.0,42.21,50.2,12.08,39.35
159.0,51.55,53.51,12.98,41.92
146.0,57.87,58.74,17.02,33.31
90.0,69.24,58.73,17.64,39.6
92.0,59.98,46.81,8.39,53.85
160.0,58.03,45.41,8.38,66.75
151.0,43.51,54.35,8.39,59.1
168.0,29.08,47.24,8.41,41.42
163.0,36.31,51.5,9.45,33.1
139.0,77.01,73.05,19.79,76.54
92.0,73.63,91.37,26.97,56.92
113.0,60.12,70.39,14.55,48.98
186.0,54.63,57.12,8.47,21.54
140.0,71.1,64.14,11.24,70.6
178.0,58.07,50.18,7.6,70.17
157.0,47.63,44.99,5.77,36.98
165.0,56.67,44.5,7.09,49.73
124.0,35.71,44.79,6.46,38.42
98.0,43.84,40.78,6.18,65.54
137.0,17.94,22.79,2.84,11.23
126.0,26.22,19.18,2.32,25.17
177.0,30.2,29.03,9.52,6.77
141.0,23.6,38.41,9.96,6.85
143.0,31.14,45.69,10.35,12.73
109.0,29.11,40.54,8.19,29.17
108.0,36.45,43.16,8.97,52.29
159.0,43.75,42.67,11.04,26.73
159.0,47.62,42.18,10.11,42.65
162.0,42.6,40.37,6.87,49.1
143.0,46.94,42.43,6.71,53.04
151.0,44.99,40.77,6.34,44.73
100.0,40.16,49.1,9.43,51.94
129.0,28.8,48.88,7.98,38.42
193.0,60.99,52.0,9.53,70.54
149.0,60.4,46.48,10.52,72.98
162.0,67.89,65.93,23.04,41.71
164.0,72.39,72.1,18.76,43.04
164.0,65.72,68.83,13.33,50.43
111.0,58.3,61.82,10.83,30.04
115.0,50.58,47.0,8.6,59.17
206.0,57.68,62.69,12.86,30.6
176.0,69.94,50.9,9.2,31.92
183.0,45.9,47.45,8.33,26.71
176.0,61.28,49.54,10.3,23.85
